City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
32,Najran,SA,81.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
33,Shache,CN,66.87,clear sky,38.4167,77.2406,Delong Hotel
35,Kobryn,BY,55.35,overcast clouds,52.2138,24.3564,Suvorov-Apartamenty
37,Howard,US,54.64,overcast clouds,39.2504,-76.933,The Columbia Inn at Peralynna
39,Tres Arroyos,AR,55.08,light rain,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
40,San Blas,MX,71.33,clear sky,21.5167,-105.2667,Hotel Posada del Rey
41,Tiarei,PF,77.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
42,Hobart,AU,51.66,scattered clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
43,Faya,SA,75.31,few clouds,18.3851,42.4509,شيلة نسايم
44,Camana,PE,60.03,broken clouds,-16.6228,-72.7111,Hostal Morales
45,Alirajpur,IN,89.53,clear sky,22.3031,74.3546,Shree Yatindrasuri Indra Bhavan
46,Kaitangata,NZ,53.58,light rain,-46.2817,169.8464,Kaitangata Motor Camp
47,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
48,Soria,ES,63.45,overcast clouds,41.6667,-2.6667,Casa Rural Sierra de Inodejo
50,Cabinda,AO,78.94,broken clouds,-5.55,12.2,Hotel Maiombe
51,Arraial Do Cabo,BR,69.76,fog,-22.9661,-42.0278,Pousada Porto Praia
54,Hami,CN,56.86,clear sky,42.8,93.45,Laoyutang Resort
55,Adrar,MR,77.9,clear sky,20.5022,-10.0711,
58,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
59,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Alize Plage
60,Yong Peng,MY,84.24,overcast clouds,2.0136,103.0659,MH Hotel Yong Peng
61,Lethem,GY,75.27,overcast clouds,3.3803,-59.7968,Savannah Inn
64,Apac,UG,83.03,overcast clouds,1.9756,32.5386,Double Duez Apac
67,Kavaratti,IN,83.1,few clouds,10.5669,72.642,Green leaf
68,Juybar,IR,64.56,broken clouds,36.6412,52.9124,مجتمع مسکونی آرامیس ۲
69,Victoria,HK,85.17,overcast clouds,22.2855,114.1577,Mini Central
70,Jamestown,US,45.72,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
71,Bluff,NZ,54.7,moderate rain,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
72,Iquique,CL,59.04,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
75,Constitucion,CL,54.19,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
76,Vredendal,ZA,83.14,overcast clouds,-31.6683,18.5012,Tharrakamma Guest House
77,Guican,CO,46.54,overcast clouds,6.4618,-72.4113,Hotel Casa del Colibrí | PNN el Cocuy | Hospedaje
78,Airai,TL,65.55,overcast clouds,-8.9266,125.4092,
79,Danilov,RU,45.05,moderate rain,58.1908,40.1717,Sot'.
81,El Triunfo,EC,69.84,overcast clouds,-1.9333,-79.9667,"""COUNTRY HOUSE"""
82,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
