City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
144,Pevek,RU,69.7008,170.3133,9.52,95,100,2.53,light snow
145,Kuching,MY,1.55,110.3333,84.42,79,20,4.61,few clouds
146,Hunterville,NZ,-39.9333,175.5667,63.7,91,54,10.02,broken clouds
147,Bokaa,BW,-24.45,26.0167,66.69,77,100,13.8,overcast clouds
148,Nanortalik,GL,60.1432,-45.2371,33.03,74,100,6.44,overcast clouds
149,Lagos,NG,6.5833,3.75,80.92,64,54,3.18,broken clouds
150,Saint Anthony,US,45.0205,-93.218,48.94,72,0,4.61,clear sky
151,Rantepao,ID,-2.9701,119.8978,72.91,97,98,1.88,overcast clouds
152,Atbasar,KZ,51.8,68.3333,31.01,63,90,8.05,overcast clouds
153,El Alto,PE,-4.2714,-81.2147,62.1,80,100,11.27,overcast clouds
154,Miranda,CO,3.2499,-76.2281,64.53,92,100,1.97,overcast clouds
155,Cockburn Town,TC,21.4612,-71.1419,81.99,73,0,11.32,clear sky
156,Sept-Iles,CA,50.2001,-66.3821,43.23,80,100,9.22,overcast clouds
157,Fortuna,US,40.5982,-124.1573,45.52,87,0,10.36,clear sky
158,Saskylakh,RU,71.9167,114.0833,3.96,91,96,8.75,overcast clouds
159,Baft,IR,29.234,56.6057,71.6,11,6,13.71,clear sky
160,Agirish,RU,61.9247,63.0231,30.7,73,95,8.72,overcast clouds
161,Namibe,AO,-15.1961,12.1522,71.73,79,98,6.58,overcast clouds
162,Tuatapere,NZ,-46.1333,167.6833,55.65,97,100,2.59,overcast clouds
163,Nara,JP,34.6851,135.8049,61.97,59,22,7.7,few clouds
164,Bac Lieu,VN,9.285,105.7244,84.27,72,100,2.06,overcast clouds
165,Rawson,AR,-43.3002,-65.1023,49.05,45,5,20.11,clear sky
166,Alofi,NU,-19.0595,-169.9187,71.49,100,100,4.61,overcast clouds
167,Iranshahr,IR,27.2025,60.6848,95.34,12,0,4.61,clear sky
168,Sistranda,NO,63.7256,8.834,44.56,67,94,24.65,overcast clouds
169,Polunochnoye,RU,60.8697,60.4153,33.55,81,100,6.8,overcast clouds
170,Marystown,CA,47.1666,-55.1483,41.52,70,0,8.59,clear sky
171,Kushmurun,KZ,52.4503,64.6311,27.43,81,92,4.54,overcast clouds
172,Kaeo,NZ,-35.1,173.7833,67.32,95,98,11.01,overcast clouds
173,Kloulklubed,PW,7.0419,134.2556,84.52,78,100,8.21,overcast clouds
174,Coquimbo,CL,-29.9533,-71.3436,51.53,100,0,4.61,clear sky
